12/8/2023 0:00,American Funds Europacific Growth R6,Employee 401(k) Account,Contributions - Employee,Purchase,54.08,0.881,47.66
12/8/2023 0:00,American Funds Europacific Growth R6,Employer Matching Account,Contributions - Employer,Purchase,54.08,0.441,23.83
12/8/2023 0:00,Vanguard Real Estate Index Institutional,Employee 401(k) Account,Contributions - Employee,Purchase,18.34,0.577,10.59
12/8/2023 0:00,Vanguard Real Estate Index Institutional,Employer Matching Account,Contributions - Employer,Purchase,18.34,0.289,5.3
12/8/2023 0:00,Vanguard Institutional Index I,Employee 401(k) Account,Contributions - Employee,Purchase,385.55,0.192,74.14
12/8/2023 0:00,Vanguard Institutional Index I,Employer Matching Account,Contributions - Employer,Purchase,385.55,0.096,37.07
12/8/2023 0:00,Vanguard Small Cap Index I,Employee 401(k) Account,Contributions - Employee,Purchase,96.12,0.331,31.77
12/8/2023 0:00,Vanguard Small Cap Index I,Employer Matching Account,Contributions - Employer,Purchase,96.12,0.165,15.89
12/8/2023 0:00,Vanguard Total Intl Stock Index I,Employee 401(k) Account,Contributions - Employee,Purchase,120.67,0.614,74.14
12/8/2023 0:00,Vanguard Total Intl Stock Index I,Employer Matching Account,Contributions - Employer,Purchase,120.67,0.307,37.06
12/8/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Contributions - Employee,Purchase,76.09,0.278,21.18
12/8/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Contributions - Employer,Purchase,76.09,0.139,10.59
11/30/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Interest Earned,Cash Receipts,9.12,0,0.04
11/30/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Interest Earned,Purchase,9.12,0.004,0.04
11/30/2023 0:00,Fidelity Inflation-Prot Bd Index,Employer Matching Account,Interest Earned,Cash Receipts,9.12,0,0.01
11/30/2023 0:00,Fidelity Inflation-Prot Bd Index,Employer Matching Account,Interest Earned,Purchase,9.12,0.002,0.01
11/24/2023 0:00,Cash,Employee 401(k) Account,Contributions - Employee,Cash Receipts,1,0,264.78
11/24/2023 0:00,Cash,Employer Matching Account,Contributions - Employer,Cash Receipts,1,0,132.39
11/24/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Contributions - Employee,Purchase,9.05,0.586,5.3
11/24/2023 0:00,Fidelity Inflation-Prot Bd Index,Employer Matching Account,Contributions - Employer,Purchase,9.05,0.293,2.65
11/24/2023 0:00,American Funds Europacific Growth R6,Employee 401(k) Account,Contributions - Employee,Purchase,54.06,0.882,47.66
11/24/2023 0:00,American Funds Europacific Growth R6,Employer Matching Account,Contributions - Employer,Purchase,54.06,0.441,23.83
11/24/2023 0:00,Vanguard Real Estate Index Institutional,Employee 401(k) Account,Contributions - Employee,Purchase,17.51,0.605,10.59
11/24/2023 0:00,Vanguard Real Estate Index Institutional,Employer Matching Account,Contributions - Employer,Purchase,17.51,0.303,5.3
11/24/2023 0:00,Vanguard Institutional Index I,Employee 401(k) Account,Contributions - Employee,Purchase,381.46,0.194,74.14
11/24/2023 0:00,Vanguard Institutional Index I,Employer Matching Account,Contributions - Employer,Purchase,381.46,0.097,37.07
11/24/2023 0:00,Vanguard Small Cap Index I,Employee 401(k) Account,Contributions - Employee,Purchase,92.58,0.343,31.77
11/24/2023 0:00,Vanguard Small Cap Index I,Employer Matching Account,Contributions - Employer,Purchase,92.58,0.172,15.89
11/24/2023 0:00,Vanguard Total Intl Stock Index I,Employee 401(k) Account,Contributions - Employee,Purchase,120,0.618,74.14
11/24/2023 0:00,Vanguard Total Intl Stock Index I,Employer Matching Account,Contributions - Employer,Purchase,120,0.309,37.06
11/24/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Contributions - Employee,Purchase,74.98,0.282,21.18
11/24/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Contributions - Employer,Purchase,74.98,0.141,10.59
11/10/2023 0:00,Cash,Employee 401(k) Account,Contributions - Employee,Cash Receipts,1,0,264.78
11/10/2023 0:00,Cash,Employer Matching Account,Contributions - Employer,Cash Receipts,1,0,132.39
11/10/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Contributions - Employee,Purchase,9,0.589,5.3
